Organiser,Organisation Addresses,Boroughs,Latitude,Longitude,Telephone Number,Type,Scheme Title,Website organiser,Scheme URL,Content,Business Issues,Categories,Funding Amounts,Funding Types,Permalink,Themes,Bio-technology,Business and Financial Services,Construction,Creative,Digital and IT,Health and Social Care,Hospitality,Life sciences,Medical,Retail and Wholesale,Science and Technology,Tourism and Leisure,Urban,Pre-Start ,Early Stage,Growth ,Mature,Micro,Small,Medium,Large
Sidcup Partners Business Improvement District,"22 Newman Street, London, United Kingdom, W1T 1PH",Westminster,51.517708,-0.135344,Number not found,BID,Sidcup Partners Business Improvement District,http://sidcuppartners.co.uk,http://sidcuppartners.co.uk,"The Sidcup Partners Business Improvement District (BID) is a business-led and business funded body formed to support economic growth in Sidcup and to create a vibrant destination for those who work, visit or live in the area.

Services for business include training courses, social media and marketing support, cost saving and consumer events.

",Business growth|Business planning,Advice and Guidance|Managing your business,,,https://www.growthhub.london/scheme/sidcup-partners-business-improvement-district/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
123 Reg,"7 Randolph Crescent, Western And Paddington, England, W9 1DP",Westminster,51.525402,-0.182674,Number not found,,123 Reg - Online Business Training,https://obt.123-reg.co.uk/,https://obt.123-reg.co.uk/,"123 Reg runs a range of free online training courses to help start ups and small firms improve their online presence. The courses cover topics including setting up a website, engaging with customers and increasing traffic to your website. All courses are delivered by expert instructors and designed to work at a pace that suits you.
",Website and SEO,Starting your business,,,https://www.growthhub.london/scheme/123-reg-online-business-training/,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,x,x,,
24 Haymarket,"22 Westminster Palace Gardens, Artillery Row, London, SW1P 1RR",Westminster,51.497074,-0.135034,Number not found,Investor/ Funding Org,24 Haymarket,http://www.24haymarket.com/,http://www.24haymarket.com/,"24 Haymarket focusses on making equity investments of up to £5 million. They invest in disruptive companies in the healthcare, industrial, consumer, technology and media industries. ",,,,,,,x,,,,x,x,,,,,,,,,x,x,x,,x,x,
ABi Associates,"Neasden Ln, London NW10 1QB, UK",Brent,51.55821,-0.249155,Number not found,Network/ Membership Org,ABi Business Support,http://www.abi.co.uk,http://www.abi.co.uk/services/,"ABi provides practical support across a range of sectors. Business services include providing advice and practical support to start ups and established businesses. In addition, ABi provides business training, seminars and networking opportunities, as well as workspace and meeting rooms.
",Business growth|Business planning|Business start up|Workspace and premises,Finding and growing your team|Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/abi-business-support/,Starting your business|Premises and open workspace|Managing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
AFS Group,"65-66 Queen St, London EC4R 1EB, UK",City of London,51.511377,-0.092732,Number not found,Investor/ Funding Org,Business cash advance,https://www.afsuk.com/,https://www.afsuk.com/synergy-commercial-finance/solutions/business-cash-advance/,"If your business operates card terminals, and you collect credit and debit card payments you could secure a business loan from the AFS Group secured on the future receipts of your card terminal.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
AFS Group,"65-66 Queen St, London EC4R 1EB, UK",City of London,51.511377,-0.092732,Number not found,Investor/ Funding Org,Release capital from existing asset/ invest new asset,https://www.afsuk.com/,https://www.afsuk.com/synergy-commercial-finance/solutions/asset-finance/,Asset finance can support you in accessing a variety of different asset finance solutions if you are looking to invest in new assets or release capital from existing assets.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
AFS Group,"65-66 Queen St, London EC4R 1EB, UK",City of London,51.511377,-0.092732,Number not found,Investor/ Funding Org,Business property finance,https://www.afsuk.com/,https://www.afsuk.com/synergy-commercial-finance/solutions/commercial-mortgage/,"AFS Group offers funding solutions for Office, Retail , Commercial Units, Warehouses, Operating company/Property company deal (opco propco) etc.",,,,,,,,x,,,,,x,,,x,,,x,x,x,x,x,x,x,,
AFS Group,"65-66 Queen St, London EC4R 1EB, UK",City of London,51.511377,-0.092732,Number not found,Investor/ Funding Org,Unsecured/secured business loan,https://www.afsuk.com/,https://www.afsuk.com/synergy-commercial-finance/solutions/business-loans/,"AFS Group offers  unsecured loans from £5,000 to £500,000, and up to a maximum period of 60 months. It also offers secured loans from £25,000 to £5,000,000. Secured loans are flexible and can offer interest only periods, longer amortisation profiles and seasonal payments. ",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
AFS Group,"65-66 Queen St, London EC4R 1EB, UK",City of London,51.511377,-0.092732,Number not found,Investor/ Funding Org,Short term finance,https://www.afsuk.com/,https://www.afsuk.com/synergy-commercial-finance/solutions/bridging-finance/,Bridging finance is a short term finance secured against property,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
AIM,"5  Giffard Court, Millbrook Close, Northampton, Northamptonshire, NN5 5JF",Northampton,52.233615,-0.917732,Number not found,Investor/ Funding Org,AIM funding,https://www.londonstockexchange.com/home/homepage.htm,http://www2.londonstockexchangegroup.com/AIMforgrowth?,AIM helps companies attract the external funding needed to sustain growth and expansion.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,
